Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Number_of_vehicles_involved
31-50,male,junior high school,employee,1-2yr,car,office areas,two-way (divided with broken lines road marking),t shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from driver's nearside,changing lane to the right,Slight Injury,2
18-30,male,high school,owner,5-10yr,lorry,other,two-way (divided with broken lines road marking),t shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,church areas,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,no licence,other,other,double carriageway (median),no junction,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,3
31-50,male,above high school,employee,below 1yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,moving backward,Slight Injury,3
31-50,male,elementary school,employee,5-10yr,lorry,church areas,unknown,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,3
over 51,male,elementary school,employee,5-10yr,lorry,school areas,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,3
18-30,male,junior high school,employee,2-5yr,car,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,no distancing,Serious Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,other,double carriageway (median),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,no priority to vehicle,Serious Injury,2
18-30,male,elementary school,employee,1-2yr,three_wheeler,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from driver's nearside,no distancing,Serious Injury,2
18-30,male,junior high school,employee,5-10yr,lorry,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,windy,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,bus,church areas,one way,other,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,"in carriageway, stationot a pedestrianry - not crossing  (standing or playing)",driving carelessly,Serious Injury,2
18-30,male,junior high school,employee,2-5yr,other,other,undivided two way,no junction,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,1
31-50,male,junior high school,employee,2-5yr,car,other,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,overloading,Slight Injury,2
18-30,male,elementary school,employee,above 10yr,lorry,other,double carriageway (median),no junction,gravel roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,elementary school,employee,above 10yr,bus,recreational areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,overtaking,Slight Injury,2
18-30,male,elementary school,other,above 10yr,bus,recreational areas,one way,crossing,asphalt roads,daylight,normal,rollover,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,1
under 18,male,junior high school,employee,below 1yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,other,daylight,raining,collision with pedestrians,going straight,not a pedestrian,driving carelessly,Serious Injury,2
18-30,unknown,elementary school,employee,5-10yr,lorry,residential areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,junior high school,owner,2-5yr,lorry,other,one way,y shape,asphalt roads,daylight,raining,collision with pedestrians,turnover,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,writing & reading,employee,2-5yr,car,other,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,getting off,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,moving backward,Slight Injury,2
over 51,male,junior high school,employee,2-5yr,car,recreational areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,getting off,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,other,office areas,two-way (divided with broken lines road marking),t shape,asphalt roads,daylight,normal,vehicle with vehicle collision,overtaking,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,lorry,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,getting off,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,elementary school,employee,1-2yr,lorry,church areas,double carriageway (median),y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,getting off,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,high school,employee,no licence,lorry,church areas,undivided two way,y shape,gravel roads,darkness - lights lit,normal,vehicle with vehicle collision,reversing,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,owner,5-10yr,mootorbike,residential areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,bus,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Serious Injury,2
under 18,male,junior high school,owner,above 10yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,2
31-50,male,elementary school,owner,above 10yr,bicycle,church areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,owner,above 10yr,car,other,unknown,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,elementary school,owner,above 10yr,bus,office areas,one way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,no priority to vehicle,Slight Injury,3
18-30,male,junior high school,owner,below 1yr,other,residential areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,3
18-30,male,junior high school,owner,2-5yr,lorry,residential areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving under the influence of drugs,Fatal injury,2
31-50,male,junior high school,owner,unknown,lorry,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Fatal injury,2
31-50,male,unknown,owner,below 1yr,lorry,office areas,one way,crossing,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,changing lane to the left,Fatal injury,2
over 51,male,elementary school,owner,below 1yr,bus,other,one way,no junction,asphalt roads,daylight,raining,collision with roadside objects,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,3
over 51,male,junior high school,owner,5-10yr,lorry,church areas,two-way (divided with broken lines road marking),other,earth roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,unknown,owner,unknown,car,residential areas,undivided two way,other,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,drunk driving,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,car,office areas,undivided two way,no junction,asphalt roads,daylight,normal,rollover,going straight,not a pedestrian,driving to the left,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,car,outside rural areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,collision with roadside objects,moving backward,not a pedestrian,changing lane to the left,Slight Injury,2
over 51,male,junior high school,employee,2-5yr,other,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,changing lane to the right,Slight Injury,2
over 51,male,junior high school,employee,1-2yr,mootorbike,residential areas,undivided two way,y shape,asphalt roads,daylight,other,vehicle with vehicle collision,other,not a pedestrian,other,Slight Injury,2
31-50,male,writing & reading,employee,below 1yr,car,office areas,undivided two way,y shape,asphalt roads,daylight,other,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,other,one way,no junction,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,getting off the vehicle improperly,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,overtaking,Slight Injury,2
31-50,male,junior high school,owner,5-10yr,lorry,office areas,two-way (divided with solid lines road marking),y shape,asphalt roads,daylight,raining,collision with pedestrians,going straight,"walking along in carriageway, back to traffic",improper parking,Slight Injury,4
over 51,male,junior high school,employee,2-5yr,lorry,residential areas,undivided two way,y shape,earth roads,daylight,raining,collision with roadside objects,going straight,not a pedestrian,other,Slight Injury,4
18-30,female,junior high school,employee,2-5yr,car,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,raining,vehicle with vehicle collision,other,not a pedestrian,changing lane to the right,Slight Injury,4
31-50,male,junior high school,employee,5-10yr,lorry,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
under 18,male,junior high school,owner,5-10yr,car,residential areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,other,not a pedestrian,no priority to vehicle,Slight Injury,3
under 18,male,high school,owner,above 10yr,car,other,other,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,other,Slight Injury,3
over 51,male,above high school,employee,above 10yr,lorry,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,rollover,reversing,not a pedestrian,driving carelessly,Serious Injury,2
18-30,unknown,junior high school,employee,no licence,other,church areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,driving at high speed,Slight Injury,1
31-50,male,junior high school,owner,below 1yr,car,office areas,two-way (divided with broken lines road marking),no junction,gravel roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,unknown,owner,above 10yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,"in carriageway, stationot a pedestrianry - not crossing  (standing or playing) - masked by parked or stationot a pedestrianry vehicle",no distancing,Slight Injury,2
31-50,male,writing & reading,owner,5-10yr,car,other,other,no junction,asphalt roads,daylight,cloudy,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,4
31-50,male,unknown,owner,unknown,car,office areas,one way,no junction,asphalt roads,daylight,cloudy,collision with pedestrians,going straight,not a pedestrian,no distancing,Slight Injury,4
31-50,male,junior high school,owner,5-10yr,bus,residential areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,cloudy,collision with pedestrians,going straight,not a pedestrian,changing lane to the right,Slight Injury,4
18-30,male,junior high school,owner,2-5yr,lorry,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,other,office areas,one way,crossing,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,driving to the left,Slight Injury,2
under 18,male,junior high school,employee,5-10yr,lorry,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,collision with roadside objects,moving backward,not a pedestrian,driving at high speed,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,other,other,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,unknown,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,other,industrial areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,1
31-50,male,elementary school,employee,5-10yr,lorry,church areas,two-way (divided with broken lines road marking),y shape,gravel roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,1
18-30,male,junior high school,employee,below 1yr,bus,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,other,church areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,1
under 18,male,junior high school,employee,above 10yr,other,office areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,other,crossing from driver's nearside,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,car,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,other,unknown or other,no priority to vehicle,Slight Injury,2
under 18,male,junior high school,employee,2-5yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,elementary school,employee,below 1yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
under 18,male,unknown,employee,5-10yr,other,other,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,turnover,not a pedestrian,no distancing,Slight Injury,2
18-30,male,writing & reading,employee,below 1yr,car,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,other,residential areas,one way,no junction,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
31-50,male,elementary school,employee,above 10yr,car,school areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,elementary school,employee,below 1yr,car,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,other,undivided two way,no junction,asphalt roads,daylight,normal,collision with roadside objects,reversing,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,bus,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,other,Slight Injury,2
18-30,male,high school,employee,1-2yr,other,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,1
18-30,male,junior high school,employee,below 1yr,lorry,office areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,overturning,Serious Injury,2
31-50,male,junior high school,employee,1-2yr,car,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,moving backward,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,high school,employee,1-2yr,lorry,school areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,other,not a pedestrian,other,Slight Injury,2
31-50,male,elementary school,owner,5-10yr,other,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
under 18,male,junior high school,employee,above 10yr,bus,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,other,other,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from driver's nearside,no priority to vehicle,Slight Injury,2
over 51,unknown,junior high school,employee,5-10yr,other,church areas,two-way (divided with solid lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,turnover,Slight Injury,2
18-30,male,elementary school,employee,1-2yr,bus,other,two-way (divided with solid lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving to the left,Slight Injury,2
over 51,male,junior high school,employee,unknown,other,church areas,two-way (divided with solid lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,other,not a pedestrian,driving carelessly,Slight Injury,2
under 18,male,above high school,employee,1-2yr,lorry,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,driving to the left,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,other,undivided two way,y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,car,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,other,one way,no junction,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,above high school,owner,1-2yr,lorry,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,driving carelessly,Slight Injury,2
under 18,male,above high school,employee,no licence,other,residential areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,changing lane to the right,Serious Injury,3
under 18,male,junior high school,employee,5-10yr,other,other,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Serious Injury,3
under 18,male,junior high school,employee,above 10yr,other,other,one way,no junction,asphalt roads,daylight,normal,collision with roadside objects,moving backward,not a pedestrian,overtaking,Serious Injury,3
31-50,male,junior high school,employee,above 10yr,lorry,hospital areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,3
18-30,male,elementary school,employee,2-5yr,other,residential areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,other,Slight Injury,3
18-30,male,junior high school,employee,2-5yr,car,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,3
31-50,male,junior high school,employee,above 10yr,other,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,overtaking,Slight Injury,4
18-30,male,junior high school,employee,2-5yr,other,office areas,double carriageway (median),y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,moving backward,Slight Injury,2
under 18,male,above high school,employee,2-5yr,other,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,3
over 51,male,unknown,employee,1-2yr,car,office areas,one way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,3
31-50,male,junior high school,employee,2-5yr,lorry,other,undivided two way,t shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,car,church areas,two-way (divided with broken lines road marking),t shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,high school,employee,5-10yr,lorry,residential areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,driving at high speed,Slight Injury,1
18-30,male,high school,employee,below 1yr,other,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,car,residential areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,car,other,other,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Serious Injury,3
31-50,male,junior high school,employee,1-2yr,car,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Serious Injury,3
18-30,male,junior high school,employee,below 1yr,other,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,high school,employee,2-5yr,bus,office areas,one way,no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,other,other,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,"walking along in carriageway, back to traffic",other,Slight Injury,2
18-30,male,elementary school,owner,5-10yr,lorry,office areas,two-way (divided with solid lines road marking),no junction,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,4
31-50,male,junior high school,employee,5-10yr,lorry,recreational areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,4
18-30,male,junior high school,employee,above 10yr,car,other,other,no junction,asphalt roads,daylight,normal,collision with roadside objects,getting off,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,mootorbike,other,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,other,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,car,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,2
over 51,male,junior high school,employee,2-5yr,lorry,school areas,undivided two way,other,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,2
31-50,male,elementary school,employee,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),other,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Serious Injury,2
under 18,male,junior high school,employee,1-2yr,bus,recreational areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overtaking,Slight Injury,2
31-50,male,unknown,owner,5-10yr,car,other,two-way (divided with broken lines road marking),other,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,moving backward,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,mootorbike,office areas,other,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,other,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,car,residential areas,other,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,residential areas,unknown,no junction,asphalt roads,daylight,normal,collision with pedestrians,moving backward,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,moving backward,Fatal injury,2
31-50,male,elementary school,employee,2-5yr,mootorbike,office areas,undivided two way,no junction,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,no distancing,Fatal injury,2
over 51,male,junior high school,employee,5-10yr,car,industrial areas,other,no junction,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,car,residential areas,other,no junction,asphalt roads,daylight,normal,collision with roadside objects,other,not a pedestrian,driving carelessly,Slight Injury,2
over 51,male,junior high school,employee,2-5yr,lorry,industrial areas,other,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,"in carriageway, stationot a pedestrianry - not crossing  (standing or playing)",no priority to pedestrian,Slight Injury,2
over 51,male,junior high school,employee,above 10yr,lorry,residential areas,other,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,elementary school,employee,5-10yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,elementary school,employee,below 1yr,car,residential areas,one way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,unknown or other,changing lane to the left,Slight Injury,2
18-30,male,elementary school,employee,5-10yr,lorry,recreational areas,other,no junction,asphalt roads,daylight,cloudy,vehicle with vehicle collision,going straight,not a pedestrian,driving to the left,Serious Injury,1
31-50,male,elementary school,employee,5-10yr,lorry,residential areas,two-way (divided with solid lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving under the influence of drugs,Slight Injury,2
18-30,male,elementary school,owner,5-10yr,other,residential areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,2
18-30,male,elementary school,employee,2-5yr,car,other,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Serious Injury,2
31-50,male,elementary school,employee,above 10yr,other,residential areas,other,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,moving backward,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,lorry,office areas,double carriageway (median),no junction,asphalt roads,daylight,raining,vehicle with vehicle collision,other,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,car,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,lorry,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,elementary school,employee,5-10yr,mootorbike,industrial areas,two-way (divided with broken lines road marking),other,asphalt roads with some distress,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
